delivery_id,order_id,order_item,expected_delivery_time_min,actual_delivery_time_min,delivery_item,distance_km
DEL202501023439,ORD202501023439,2,31,31,2,6.4
DEL202501012051,ORD202501012051,3,42,46,4,1.9
DEL202501019281,ORD202501019281,5,31,25,5,6.2
DEL202501000124,ORD202501000124,7,41,29,7,6.2
DEL202501006518,ORD202501006518,5,41,37,5,2.4
DEL202501018255,ORD202501018255,2,42,39,2,3.5
DEL202501004299,ORD202501004299,1,43,47,2,7.8
DEL202501018036,ORD202501018036,4,37,46,4,1.6
DEL202501009329,ORD202501009329,1,42,49,1,3.2
DEL202501007498,ORD202501007498,1,40,43,1,3.9
DEL202501007724,ORD202501007724,7,37,42,9,7.5
DEL202501002349,ORD202501002349,9,33,32,9,8
DEL202501000464,ORD202501000464,2,43,39,2,3.7
DEL202501009188,ORD202501009188,4,43,38,4,2.3
DEL202501002552,ORD202501002552,2,41,49,2,1.7
DEL202501011873,ORD202501011873,,35,,,6.9
DEL202501016360,ORD202501016360,3,40,37,3,6.4
DEL202501023625,ORD202501023625,3,42,44,1,1.8
DEL202501003201,ORD202501003201,10,37,43,10,1.4
DEL202501019777,ORD202501019777,5,30,43,5,5.2
DEL202501002874,ORD202501002874,3,44,36,1,3.8
DEL202501000545,ORD202501000545,2,41,35,2,4.3
DEL202501017575,ORD202501017575,1,44,44,1,7.1
DEL202501019797,ORD202501019797,5,35,49,5,4.5
DEL202501022002,ORD202501022002,,37,,,1.9
DEL202501016346,ORD202501016346,7,32,33,9,4.9
DEL202501021971,ORD202501021971,6,39,45,6,5.2
DEL202501003159,ORD202501003159,5,40,44,5,7.1
DEL202501006768,ORD202501006768,2,42,41,2,1.5
DEL202501014460,ORD202501014460,3,43,40,3,7
DEL202501011353,ORD202501011353,3,44,46,3,3.6
DEL202501019978,ORD202501019978,7,34,41,7,7.6
DEL202501006331,ORD202501006331,3,43,40,2,5.8
DEL202501023947,ORD202501023947,6,33,42,6,3.6
DEL202501018102,ORD202501018102,5,42,28,5,1.9
DEL202501008563,ORD202501008563,1,40,37,1,6.2
DEL202501022124,ORD202501022124,6,38,34,7,5
DEL202501008903,ORD202501008903,1,37,37,1,5.4
DEL202501008565,ORD202501008565,3,33,33,3,4.5
DEL202501016944,ORD202501016944,1,31,47,1,7.9
DEL202501023337,ORD202501023337,3,43,37,4,5
DEL202501021890,ORD202501021890,4,39,41,4,8
DEL202501017303,ORD202501017303,3,39,45,3,7.4
DEL202501020906,ORD202501020906,6,38,46,6,3
DEL202501019802,ORD202501019802,5,39,36,5,3.9
DEL202501003553,ORD202501003553,7,30,46,7,5.1
DEL202501022663,ORD202501022663,3,34,29,3,3.6
DEL202501015020,ORD202501015020,6,36,30,6,6.3
DEL202501001438,ORD202501001438,5,43,43,5,7.5
DEL202501007454,ORD202501007454,2,30,41,2,7.5
DEL202501012168,ORD202501012168,,36,,,5.6
DEL202501006871,ORD202501006871,6,40,41,6,4.7
DEL202501014844,ORD202501014844,4,45,37,4,4.3
DEL202501019834,ORD202501019834,1,40,43,1,6.5
DEL202501023485,ORD202501023485,,35,,,4.8
DEL202501000377,ORD202501000377,3,32,36,3,2
DEL202501009545,ORD202501009545,4,42,43,4,6.3
DEL202501000523,ORD202501000523,,41,,,3.4
DEL202501008435,ORD202501008435,4,44,43,4,4.2
DEL202501020936,ORD202501020936,4,38,43,4,4.1
DEL202501008187,ORD202501008187,5,37,39,5,5.1
DEL202501002260,ORD202501002260,,37,,,4.2
DEL202501019832,ORD202501019832,8,40,26,8,4.8
DEL202501019282,ORD202501019282,5,40,28,5,8
DEL202501013652,ORD202501013652,2,35,32,2,3.1
DEL202501016646,ORD202501016646,5,31,43,5,2.1
DEL202501017479,ORD202501017479,2,37,36,2,7.4
DEL202501015659,ORD202501015659,4,41,50,4,3
DEL202501019201,ORD202501019201,4,34,45,4,3.3
DEL202501016418,ORD202501016418,3,42,32,3,3.9
DEL202501007798,ORD202501007798,5,41,32,5,5.5
DEL202501009148,ORD202501009148,8,34,37,6,7.2
DEL202501012777,ORD202501012777,9,32,26,9,6.8
DEL202501006131,ORD202501006131,4,37,43,4,4.2
DEL202501012929,ORD202501012929,3,42,35,3,4.2
DEL202501000787,ORD202501000787,1,39,28,1,6.9
DEL202501012320,ORD202501012320,1,30,35,3,7.5
DEL202501018590,ORD202501018590,,42,,,7.8
